player_name,team,salary_2025_26,salary_2026_27,salary_2027_28,salary_2028_29,salary_2029_30,salary_2030_31,guaranteed
Rasheer Fleming,PHO,1272870.0,2150917.0,2525901.0,2735698.0,,,5949688.0
Maxime Raynaud,SAC,1272870.0,2150917.0,2525901.0,,,,3423787.0
Johni Broome,PHI,1272870.0,2150917.0,2525901.0,2735698.0,,,3423787.0
Noah Penda,ORL,1272870.0,2150917.0,2525901.0,2735698.0,,,3423787.0
Micah Peavy,NOP,1272870.0,2150917.0,2525901.0,2735698.0,,,3423787.0
Adou Thiero,LAL,1272870.0,2150917.0,2525901.0,,,,3423787.0
Will Richard,GSW,1272870.0,2150917.0,2525901.0,2735698.0,,,3423787.0
Tyrese Proctor,CLE,1272870.0,2150917.0,2525901.0,2735698.0,,,3423787.0
Mohamed Diawara,NYK,1272870.0,,,,,,1272870.0
Kam Jones,IND,1272870.0,2150917.0,2525901.0,2735698.0,,,1272870.0
Nikola Djurisic,ATL,1272870.0,,,,,,1272870.0
Olivier-Maxence Prosper,DAL,1002360.0,1002360.0,1002360.0,,,,3007080.0
James Wiseman,IND,1131970.0,,,,,,1131970.0
Jevon Carter,ORL,7680524.0,,,,,,871000.0
Pat Spencer,GSW,857804.0,,,,,,857804.0
Kobe Bufkin,LAL,5480297.0,2497812.0,,,,,3474389.0
Cam Thomas,MIL,6837779.0,,,,,,844607.0
Haywood Highsmith,PHO,6443984.0,3018158.0,,,,,1827984.0
Jeremy Sochan,NYK,7874853.0,,,,,,778622.0
Mike Conley,MIN,11499872.0,,,,,,725834.0
Bryce McGowens,NOP,724598.0,2584539.0,2934742.0,,,,3309137.0
Jabari Walker,PHI,724598.0,2584539.0,,,,,724598.0
Nae'Qwan Tomlin,CLE,718150.0,2411090.0,,,,,3129240.0
Jordan Miller,LAC,712637.0,2497812.0,,,,,3210449.0
Cameron Payne,PHI,712637.0,,,,,,712637.0
E.J. Liddell,PHO,706898.0,706898.0,,,,,1413796.0
Caleb Houstan,ATL,699440.0,,,,,,699440.0
Sidy Cissoko,POR,686243.0,2497812.0,,,,,686243.0
Vasilije Micić,MIL,666667.0,666667.0,666667.0,,,,2000001.0
Spencer Jones,DEN,623967.0,,,,,,623967.0
Mason Plumlee,SAS,3022108.0,,,,,,725834.0
Amari Williams,BOS,490128.0,2150917.0,,,,,2641045.0
Kobe Sanders,LAC,475497.0,2150917.0,,,,,475497.0
Mamadi Diakite,MEM,464050.0,464050.0,,,,,928100.0
Ricky Rubio,CLE,424672.0,424672.0,,,,,849344.0
Myron Gardner,MIA,395029.0,2150917.0,2525901.0,,,,395029.0
Jeremiah Robinson-Earl,IND,131970.0,,,,,,589305.0
Monte Morris,IND,321184.0,,,,,,321184.0
Garrison Mathews,IND,429325.0,,,,,,561295.0
Didi Louzada,POR,268032.0,268032.0,268032.0,268032.0,,,1072128.0
Mo Bamba,TOR,458711.0,,,,,,194771.0
Mac McClung,IND,164060.0,,,,,,164060.0
Kobe Bufkin,LAL,5480297.0,2497812.0,,,,,3474389.0
Tony Bradley,IND,3204816.0,,,,,,3204816.0
Tony Bradley,IND,3204816.0,,,,,,3204816.0
James Wiseman,IND,1131970.0,,,,,,1131970.0
Mason Plumlee,SAS,3022108.0,,,,,,725834.0
Jeremiah Robinson-Earl,IND,131970.0,,,,,,589305.0
Jeremiah Robinson-Earl,IND,131970.0,,,,,,589305.0
Garrison Mathews,IND,429325.0,,,,,,561295.0
Garrison Mathews,IND,429325.0,,,,,,561295.0
Mo Bamba,UTA,458711.0,,,,,,263940.0
Mo Bamba,UTA,458711.0,,,,,,263940.0
Killian Hayes,SAC,263940.0,,,,,,263940.0
Killian Hayes,SAC,263940.0,,,,,,263940.0
Charles Bassey,PHI,263940.0,,,,,,263940.0
Charles Bassey,PHI,263940.0,,,,,,263940.0
Christian Koloko,MEM,263940.0,,,,,,263940.0
Christian Koloko,MEM,263940.0,,,,,,263940.0
Alondes Williams,WAS,131970.0,,,,,,131970.0
Skal Labissière,WAS,131970.0,,,,,,131970.0
Patrick Baldwin Jr.,PHI,263940.0,,,,,,131970.0
Rayan Rupert,MEM,2353647.0,,,,,,131970.0
Kobe Bufkin,MEM,5480297.0,2497812.0,,,,,131970.0
Charles Bassey,MEM,263940.0,,,,,,131970.0
Dalano Banton,LAC,263940.0,,,,,,131970.0
