player_name,team_abbrev,salary_2025_26,total_guaranteed,AGE,GP,TS_PCT,PIE,USG_PCT,PTS,REB,AST,team_wins,team_win_pct
Mo Bamba,TOR,458711.0,194771.0,27.0,32,0.557,0.1,0.15,4.3,4.5,0.6,30,0.366
Kobe Bufkin,LAL,5480297.0,3474389.0,21.0,10,0.483,0.086,0.203,5.3,2.1,1.7,50,0.61
Mason Plumlee,SAS,3022108.0,725834.0,35.0,74,0.645,0.098,0.105,4.5,6.1,1.8,34,0.415
Jeremiah Robinson-Earl,IND,131970.0,589305.0,24.0,66,0.563,0.087,0.14,6.3,4.8,1.3,50,0.61
Jeremiah Robinson-Earl,IND,131970.0,589305.0,24.0,66,0.563,0.087,0.14,6.3,4.8,1.3,50,0.61
Garrison Mathews,IND,429325.0,561295.0,28.0,47,0.606,0.068,0.153,7.5,1.9,1.3,50,0.61
Garrison Mathews,IND,429325.0,561295.0,28.0,47,0.606,0.068,0.153,7.5,1.9,1.3,50,0.61
Mo Bamba,UTA,458711.0,263940.0,27.0,32,0.557,0.1,0.15,4.3,4.5,0.6,17,0.207
Mo Bamba,UTA,458711.0,263940.0,27.0,32,0.557,0.1,0.15,4.3,4.5,0.6,17,0.207
Killian Hayes,SAC,263940.0,263940.0,23.0,6,0.559,0.085,0.145,9.0,3.0,5.2,40,0.488
Killian Hayes,SAC,263940.0,263940.0,23.0,6,0.559,0.085,0.145,9.0,3.0,5.2,40,0.488
Charles Bassey,PHI,263940.0,263940.0,24.0,36,0.597,0.113,0.164,4.4,4.2,0.5,24,0.293
Charles Bassey,PHI,263940.0,263940.0,24.0,36,0.597,0.113,0.164,4.4,4.2,0.5,24,0.293
Kobe Bufkin,MEM,5480297.0,131970.0,21.0,10,0.483,0.086,0.203,5.3,2.1,1.7,48,0.585
Charles Bassey,MEM,263940.0,131970.0,24.0,36,0.597,0.113,0.164,4.4,4.2,0.5,48,0.585
Jeremiah Robinson-Earl,DAL,131970.0,131970.0,24.0,66,0.563,0.087,0.14,6.3,4.8,1.3,39,0.476
Dalano Banton,BOS,263940.0,131970.0,25.0,67,0.497,0.089,0.237,8.3,2.0,2.4,61,0.744
