player_name,team_abbrev,salary_2025_26,total_guaranteed,AGE,GP,TS_PCT,PIE,USG_PCT,PTS,REB,AST,team_wins,team_win_pct
Simone Fontecchio,MIA,8307692.0,8307692.0,29.0,75,0.544,0.068,0.152,5.9,2.9,0.9,37,0.451
Georges Niang,MEM,8200000.0,8200000.0,32.0,79,0.607,0.071,0.177,9.9,3.4,1.4,48,0.585
Zeke Nnaji,DEN,8177778.0,15644445.0,24.0,57,0.574,0.063,0.119,3.2,1.6,0.4,50,0.61
Deandre Ayton,LAL,33654814.0,8104000.0,26.0,40,0.583,0.125,0.197,14.4,10.2,1.6,50,0.61
Tre Jones,CHI,8000000.0,16000000.0,25.0,46,0.617,0.11,0.136,7.2,2.5,4.2,39,0.476
Kevon Looney,NOP,8000000.0,8000000.0,29.0,76,0.535,0.114,0.125,4.5,6.1,1.6,21,0.256
Anthony Black,ORL,7970280.0,18076596.0,21.0,78,0.521,0.084,0.19,9.4,2.9,3.1,41,0.5
Max Christie,DAL,7714286.0,16000000.0,22.0,78,0.57,0.069,0.15,9.6,3.3,1.9,39,0.476
Dyson Daniels,ATL,7707709.0,107707709.0,22.0,76,0.545,0.099,0.178,14.1,5.9,4.4,40,0.488
Ayo Dosunmu,MIN,7518518.0,7518518.0,25.0,46,0.585,0.084,0.163,12.3,3.5,4.5,49,0.598
Bilal Coulibaly,WAS,7275600.0,16515612.0,20.0,59,0.515,0.07,0.175,12.3,5.0,3.4,18,0.22
Payton Pritchard,BOS,7232143.0,23303571.0,27.0,80,0.633,0.116,0.186,14.3,3.8,3.5,61,0.744
Donovan Clingan,POR,7178400.0,14698320.0,21.0,67,0.574,0.105,0.135,6.5,7.9,1.1,36,0.439
Kenrich Williams,OKC,7163000.0,7163000.0,30.0,69,0.587,0.093,0.151,6.3,3.5,1.4,68,0.829
Jeremy Sochan,SAS,7874853.0,7096231.0,22.0,54,0.589,0.101,0.184,11.4,6.5,2.4,34,0.415
Tyus Jones,DAL,7000000.0,7000000.0,29.0,81,0.585,0.099,0.16,10.2,2.4,5.3,39,0.476
Clint Capela,HOU,6700000.0,21105000.0,31.0,55,0.564,0.117,0.16,8.9,8.5,1.1,52,0.634
Ousmane Dieng,MIL,6670882.0,6670882.0,22.0,37,0.538,0.088,0.152,3.8,2.2,0.8,48,0.585
Jarace Walker,IND,6665520.0,15144062.0,21.0,75,0.59,0.087,0.165,6.1,3.1,1.5,50,0.61
Dean Wade,CLE,6623456.0,,28.0,59,0.563,0.067,0.101,5.4,4.2,1.3,64,0.78
Jalen Williams,OKC,6580997.0,247280997.0,24.0,69,0.573,0.138,0.27,21.6,5.3,5.1,68,0.829
Rob Dillingham,CHI,6576120.0,13465440.0,20.0,49,0.503,0.078,0.215,4.5,1.0,2.0,39,0.476
Jalen Duren,DET,6483144.0,6483144.0,21.0,78,0.703,0.14,0.161,11.8,10.3,2.7,44,0.537
John Konchar,UTA,6165000.0,12330000.0,29.0,46,0.592,0.094,0.077,2.4,3.3,0.9,17,0.207
Taylor Hendricks,MEM,6127080.0,13932980.0,21.0,3,0.354,0.036,0.113,4.7,5.0,0.7,48,0.585
